name,family,reward,guide,guide_type,objective,replay,beta,temp,guide_source,n_traj,delivered_frac,argmax_flip_rate,sample_flip_rate,mean_total_variation,mean_KL,mean_prior_top1_gap,flip_rate_high_gap,flip_rate_low_gap,frac_states_high_gap,n_states,n_positions_reported,deepest_position_reached,ckpt
sweep-fexo-tempgain-db-replay_off-b10,sweep,fexo,tempgain,TempGainGuide,db,off,10,1.0,ema,2000,1.0,0.006602403274792024,0.006701439323913904,0.005766529364466326,0.0031508300406155837,16.39394056056659,7.662248103593594e-05,0.023574411615471684,0.7180663761609226,90876,192,123,/workspace/quetzal/logs/quetzal-gfn/legit/sweep-fexo-tempgain-db-replay_off-b10/checkpoints/epoch=4-step=492.ckpt
sweep-fexo-tempgain-db-replay_on-b10,sweep,fexo,tempgain,TempGainGuide,db,on,10,1.0,ema,2000,1.0,0.01100340005061564,0.004709455221663494,0.003954786145254768,0.0021208354970455455,16.473484853929467,6.136192799177751e-05,0.01650190706001401,0.7172786390994818,90881,192,87,/workspace/quetzal/logs/quetzal-gfn/legit/sweep-fexo-tempgain-db-replay_on-b10/checkpoints/epoch=4-step=454.ckpt
sweep-nitrogen-base-db-replay_off-b1,sweep,nitrogen,base,TempGainGuide,db,off,1,1.0,ema,2000,1.0,0.013400372109506512,0.007032426685567467,0.005856006324820042,0.008632197529140054,16.432939730723902,0.0004928612133626996,0.023769167093697034,0.7190462478958093,90296,192,160,/workspace/quetzal/logs/quetzal-gfn/legit/sweep-nitrogen-base-db-replay_off-b1/checkpoints/epoch=4-step=436.ckpt
sweep-nitrogen-base-db-replay_on-b1,sweep,nitrogen,base,TempGainGuide,db,on,1,1.0,ema,2000,1.0,0.022467072214800668,0.007860715192598563,0.007160034168245417,0.00696461174816012,16.470693862513087,0.00029145574474612673,0.02729743569543467,0.7197191339964891,90577,192,118,/workspace/quetzal/logs/quetzal-gfn/legit/sweep-nitrogen-base-db-replay_on-b1/checkpoints/epoch=4-step=472.ckpt
sweep-nitrogen-base-db-replay_off-b10,sweep,nitrogen,base,TempGainGuide,db,off,10,1.0,ema,2000,1.0,0.0245818550430816,0.019634632759646532,0.01837086394999381,0.021182069677227515,16.403438695996154,0.00033786377946709665,0.06863471512693523,0.7174574142224377,90758,192,120,/workspace/quetzal/logs/quetzal-gfn/legit/sweep-nitrogen-base-db-replay_off-b10/checkpoints/epoch=4-step=455.ckpt
sweep-nitrogen-base-db-replay_on-b10,sweep,nitrogen,base,TempGainGuide,db,on,10,1.0,ema,2000,1.0,0.031147885997851107,0.02228646750628607,0.021455382593410573,0.021462120305488025,16.367456758664975,0.00013869198052148186,0.07889864891479892,0.718793960943298,90279,192,92,/workspace/quetzal/logs/quetzal-gfn/legit/sweep-nitrogen-base-db-replay_on-b10/checkpoints/epoch=4-step=454.ckpt
sweep-nitrogen-hidden-db-replay_off-b1,sweep,nitrogen,hidden,HiddenGuide,db,off,1,1.0,ema,2000,1.0,0.022607635618108274,0.010406161688923367,0.00950326970938075,0.03329425256269672,16.451617612747324,0.0016809314519238183,0.03269003544702639,0.7186235939491328,90235,192,148,/workspace/quetzal/logs/quetzal-gfn/legit/sweep-nitrogen-hidden-db-replay_off-b1/checkpoints/epoch=4-step=406.ckpt
sweep-nitrogen-hidden-db-replay_on-b1,sweep,nitrogen,hidden,HiddenGuide,db,on,1,1.0,ema,2000,1.0,0.02423423126380692,0.011133458625957554,0.010135911305705748,0.01719850341419648,16.41408143622146,0.0009482007126798905,0.0371484375,0.7186411245562553,90987,192,145,/workspace/quetzal/logs/quetzal-gfn/legit/sweep-nitrogen-hidden-db-replay_on-b1/checkpoints/epoch=3-step=395.ckpt
sweep-nitrogen-hidden-revkl-replay_off-b1,sweep,nitrogen,hidden,HiddenGuide,revkl,off,1,1.0,ema,2000,1.0,0.007975178622151332,0.0030698975244171567,0.0026584463422503774,0.00025246812985685064,16.441542337389137,0.0,0.010993740219092331,0.7207594992024822,91534,192,122,/workspace/quetzal/logs/quetzal-gfn/legit/sweep-nitrogen-hidden-revkl-replay_off-b1/checkpoints/epoch=2-step=293.ckpt
sweep-nitrogen-hidden-rtb-replay_off-b1,sweep,nitrogen,hidden,HiddenGuide,rtb,off,1,1.0,ema,2000,1.0,0.0029566867456587453,0.005019748019681825,0.0034743424002206275,0.0003117767014536178,16.384914949426836,1.5393377768883825e-05,0.017679816192219325,0.7166986606650338,90642,192,124,/workspace/quetzal/logs/quetzal-gfn/legit/sweep-nitrogen-hidden-rtb-replay_off-b1/checkpoints/epoch=2-step=291.ckpt
sweep-nitrogen-hidden-db-replay_off-b10,sweep,nitrogen,hidden,HiddenGuide,db,off,10,1.0,ema,2000,1.0,0.048425678381625516,0.023336111441838316,0.022163509907966266,0.03171532982065545,16.49998339645263,0.00022496513040478727,0.08326851275668948,0.721698470597149,92389,192,136,/workspace/quetzal/logs/quetzal-gfn/legit/sweep-nitrogen-hidden-db-replay_off-b10/checkpoints/epoch=4-step=459.ckpt
sweep-nitrogen-hidden-db-replay_on-b10,sweep,nitrogen,hidden,HiddenGuide,db,on,10,1.0,ema,2000,1.0,0.026740509827330814,0.017078994494926045,0.015927559344213093,0.01330647959511316,16.426922581681882,0.0001692177524805784,0.060258475075617705,0.7185890208043156,90462,192,105,/workspace/quetzal/logs/quetzal-gfn/legit/sweep-nitrogen-hidden-db-replay_on-b10/checkpoints/epoch=4-step=454.ckpt
sweep-nitrogen-hidden-revkl-replay_off-b10,sweep,nitrogen,hidden,HiddenGuide,revkl,off,10,1.0,ema,2000,1.0,0.011696620976162442,0.009330637815742119,0.008366966604021597,0.0033783075320846273,16.356961330030508,1.5500031000062e-05,0.0328890631125049,0.7166374158576412,90026,192,97,/workspace/quetzal/logs/quetzal-gfn/legit/sweep-nitrogen-hidden-revkl-replay_off-b10/checkpoints/epoch=2-step=293.ckpt
sweep-nitrogen-hidden-rtb-replay_off-b10,sweep,nitrogen,hidden,HiddenGuide,rtb,off,10,1.0,ema,2000,1.0,0.010303882764711655,0.015177782866114946,0.012356144815454497,0.00454293834378445,16.380337487578544,0.0,0.05379710144927536,0.7178698766805142,91713,192,112,/workspace/quetzal/logs/quetzal-gfn/legit/sweep-nitrogen-hidden-rtb-replay_off-b10/checkpoints/epoch=2-step=289.ckpt
sweep-nitrogen-tempgain-db-replay_off-b1,sweep,nitrogen,tempgain,TempGainGuide,db,off,1,1.0,ema,2000,1.0,0.014831138780232494,0.0034378271169632525,0.0030347698610171114,0.0010824834479724705,16.423304688091825,3.0713474001044255e-05,0.012091898428053204,0.7175141865461958,90755,192,90,/workspace/quetzal/logs/quetzal-gfn/legit/sweep-nitrogen-tempgain-db-replay_off-b1/checkpoints/epoch=3-step=372.ckpt
sweep-nitrogen-tempgain-db-replay_on-b1,sweep,nitrogen,tempgain,TempGainGuide,db,on,1,1.0,ema,2000,1.0,0.017992949158555243,0.004423405246003415,0.003984883854614549,0.0014813351992192256,16.428869744181984,1.5409270216962525e-05,0.015727495455623172,0.7194518968537283,90202,192,119,/workspace/quetzal/logs/quetzal-gfn/legit/sweep-nitrogen-tempgain-db-replay_on-b1/checkpoints/epoch=3-step=390.ckpt
sweep-nitrogen-tempgain-db-replay_off-b10,sweep,nitrogen,tempgain,TempGainGuide,db,off,10,1.0,ema,2000,1.0,0.009603548655392292,0.011832547823676185,0.009930805099827203,0.0064845807191151045,16.376828502785113,0.0,0.04194841956282434,0.7179262545051289,90175,192,167,/workspace/quetzal/logs/quetzal-gfn/legit/sweep-nitrogen-tempgain-db-replay_off-b10/checkpoints/epoch=4-step=451.ckpt
sweep-nitrogen-tempgain-db-replay_on-b10,sweep,nitrogen,tempgain,TempGainGuide,db,on,10,1.0,ema,2000,1.0,0.012934918785854012,0.009923731235026486,0.008186603680339615,0.0037878611928233346,16.35776951210466,0.0,0.035175879396984924,0.7178824977471042,90994,192,138,/workspace/quetzal/logs/quetzal-gfn/legit/sweep-nitrogen-tempgain-db-replay_on-b10/checkpoints/epoch=4-step=454.ckpt
sweep-osim-base-db-replay_off-b1,sweep,osim,base,TempGainGuide,db,off,1,1.0,ema,2000,1.0,0.01026324121892367,0.00435641834718143,0.0037626851953217948,0.0066680425843928135,16.45566666942985,0.0003948667324777887,0.014488812927284028,0.7189182107021586,91589,192,156,/workspace/quetzal/logs/quetzal-gfn/legit/sweep-osim-base-db-replay_off-b1/checkpoints/epoch=4-step=469.ckpt
sweep-osim-base-db-replay_on-b1,sweep,osim,base,TempGainGuide,db,on,1,1.0,ema,2000,1.0,0.012735988766879848,0.006614815871170153,0.005338184921553727,0.006395322352838522,16.48470236182018,0.00034937947167747716,0.02289955780164245,0.7221557937230553,91159,192,122,/workspace/quetzal/logs/quetzal-gfn/legit/sweep-osim-base-db-replay_on-b1/checkpoints/epoch=4-step=474.ckpt
sweep-osim-base-rtb-replay_off-b1,sweep,osim,base,TempGainGuide,rtb,off,1,1.0,ema,2000,1.0,0.001186656704610381,0.002329363160901859,0.0013494733043353793,7.476174501354707e-05,16.324654529347544,0.0,0.008191020786647091,0.7156199182525381,91012,192,164,/workspace/quetzal/logs/quetzal-gfn/legit/sweep-osim-base-rtb-replay_off-b1/checkpoints/epoch=2-step=255.ckpt
sweep-osim-base-rtb-replay_on-b1,sweep,osim,base,TempGainGuide,rtb,on,1,1.0,ema,2000,1.0,0.001521203830369357,0.002243502051983584,0.001705673635683193,9.129886263972272e-05,16.4356595484033,0.0,0.007999375658485191,0.7195403556771546,91375,192,144,/workspace/quetzal/logs/quetzal-gfn/legit/sweep-osim-base-rtb-replay_on-b1/checkpoints/epoch=2-step=255.ckpt
sweep-osim-base-db-replay_off-b10,sweep,osim,base,TempGainGuide,db,off,10,1.0,ema,2000,1.0,0.011271009557288806,0.009853894320553664,0.008714592904987276,0.0075605615303959055,16.417754756169412,0.00047356441239822185,0.03386913840979311,0.7191145776117763,91030,192,96,/workspace/quetzal/logs/quetzal-gfn/legit/sweep-osim-base-db-replay_off-b10/checkpoints/epoch=4-step=469.ckpt
sweep-osim-base-db-replay_on-b10,sweep,osim,base,TempGainGuide,db,on,10,1.0,ema,2000,1.0,0.02920981045981046,0.016793173043173043,0.015220079186718152,0.010678009399736121,16.426975444079535,0.0003354067569215758,0.05900062558648733,0.7194629694629695,91168,192,111,/workspace/quetzal/logs/quetzal-gfn/legit/sweep-osim-base-db-replay_on-b10/checkpoints/epoch=4-step=479.ckpt
sweep-osim-base-rtb-replay_off-b10,sweep,osim,base,TempGainGuide,rtb,off,10,1.0,ema,2000,1.0,0.008023047235962385,0.012034570853943577,0.010702278124272468,0.0033834396336115398,16.306331454807502,0.0,0.0426211835367497,0.7176387454476273,91985,192,113,/workspace/quetzal/logs/quetzal-gfn/legit/sweep-osim-base-rtb-replay_off-b10/checkpoints/epoch=2-step=237.ckpt
sweep-osim-base-rtb-replay_on-b10,sweep,osim,base,TempGainGuide,rtb,on,10,1.0,ema,2000,1.0,0.007088618706930606,0.010720712812184523,0.00904575685693847,0.002207739522361605,16.37538216465974,0.0,0.0379579626248106,0.717563534214107,91132,192,139,/workspace/quetzal/logs/quetzal-gfn/legit/sweep-osim-base-rtb-replay_on-b10/checkpoints/epoch=2-step=210.ckpt
sweep-osim-hidden-db-replay_off-b1,sweep,osim,hidden,HiddenGuide,db,off,1,1.0,ema,2000,1.0,0.01460567962018639,0.007627044135748198,0.006351387020272996,0.02665374696543793,16.492052495594873,0.0014007947987880079,0.02378036737112384,0.7217887286794443,90992,192,90,/workspace/quetzal/logs/quetzal-gfn/legit/sweep-osim-hidden-db-replay_off-b1/checkpoints/epoch=4-step=430.ckpt
